DTB70,Animal1,00001.jpg,1004,517,65,68,1036,551,1,0,0.398059368
,,,,,,,,,,,
DTB70,Animal1,00002.jpg,1004.5,514,64.02902689,66.98421274,1036,547,0.955872369,1,0.005959511
,,,,,,,,,,,
DTB70,Animal1,00003.jpg,1004.985487,511.5078936,64.65685947,67.64102222,1037,545,0.830616876,4,0.005014181
,,,,,,,,,,,
DTB70,Animal1,00004.jpg,1006.67157,509.1794889,65.27917555,68.29206058,1039,543,0.971428571,1.414213562,0.004474401
,,,,,,,,,,,
DTB70,Animal1,00005.jpg,1007.360412,507.8539697,65.94959158,68.99341888,1040,542,0.917041275,2.236067977,0.006015062
,,,,,,,,,,,
DTB70,Animal1,00006.jpg,1006.422684,505.8529615,67.48504134,69.95358171,1040,540,0.779069767,1,0.150400162
,,,,,,,,,,,
DTB70,Animal1,00007.jpg,1006.257479,505.0232091,68.21312211,70.708295,1040,540,0.765870586,1,0.005012989
,,,,,,,,,,,
DTB70,Animal1,00008.jpg,1005.893439,503.6458525,68.25,71.4,1040,539,0.706521739,2,0.004009724
,,,,,,,,,,,
DTB70,Animal1,00009.jpg,1005.875,502.3,68.25,71.4,1040,538,0.682769726,3.16227766,0.004510641
,,,,,,,,,,,
DTB70,Animal1,00010.jpg,1005.875,502.3,68.25,71.4,1040,538,0.65942029,4,0.003956079
